rank,lemma,reading,score,model_score,correction_delta,band,current,delta,core_rank,candidate_state,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,manual_review,manual_note,review_flags,exact_commonness,jlpt_exact_known,jlpt_raw_exact_known,jlpt_normalized_only_known,lesson_known,kana_preferred,rare_wago_obscure_written,kanji_surface,same_surface_risk,hard_form,soft_form,reading_inheritance,tail_guard,suspicion_full
11,何,なに,0.005631,0.005631,0.0,0.00-0.05,0.005631,0.0,75.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.054904,1.0,0.0,0.0,1.0,0.25,0.054904,0.0
12,つく,つく,0.006081,0.006081,0.0,0.00-0.05,0.006081,0.0,79.0,normal_vocab,exclude_standalone_srs,,exclude_standalone_srs,False,active,The kana row is too semantically overloaded for standalone SRS; clearer kanji rows such as 着く/つく and 付く/つく should carry teachable meanings.,yes,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.007679,0.0,0.0,1.0,1.0,1.0,0.007679,0.0
13,どう,どう,0.006532,0.006532,0.0,0.00-0.05,0.006532,0.0,95.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.121988,0.0,0.0,1.0,1.0,1.0,1.0,0.0
14,中,なか,0.006982,0.006982,0.0,0.00-0.05,0.006982,0.0,96.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.122306,1.0,0.0,1.0,1.0,0.5,1.0,0.0
15,自分,じぶん,0.007432,0.007432,0.0,0.00-0.05,0.007432,0.0,99.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0
16,今,いま,0.007883,0.007883,0.0,0.00-0.05,0.007883,0.0,106.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.03223,1.0,0.0,0.0,0.0,0.25,0.03223,0.0
17,所,ところ,0.008333,0.008333,0.0,0.00-0.05,0.008333,0.0,109.0,normal_vocab,display_only,ところ,normal_vocab,True,active,"The word is early and common, but the standalone beginner-facing display should prefer kana.",yes,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.056155,1.0,0.0,1.0,1.0,1.0,0.056155,0.0
18,問題,もんだい,0.008784,0.008784,0.0,0.00-0.05,0.008784,0.0,114.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
19,前,まえ,0.009234,0.009234,0.0,0.00-0.05,0.009234,0.0,116.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.134454,1.0,0.0,0.0,1.0,0.75,1.0,0.0
20,使う,つかう,0.009685,0.009685,0.0,0.00-0.05,0.009685,0.0,121.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.083043,1.0,0.0,0.0,0.0,1.0,0.083043,0.0
21,分かる,わかる,0.010135,0.010135,0.0,0.00-0.05,0.010135,0.0,123.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.050105,1.0,0.0,1.0,1.0,1.0,0.050105,0.0
22,持つ,もつ,0.010586,0.010586,0.0,0.00-0.05,0.010586,0.0,123.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.058394,1.0,0.0,0.0,0.0,1.0,0.058394,0.0
23,子供,こども,0.011036,0.011036,0.0,0.00-0.05,0.011036,0.0,132.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.100895,1.0,0.0,1.0,0.0,1.0,0.100895,0.0
24,取る,とる,0.011486,0.011486,0.0,0.00-0.05,0.011486,0.0,135.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.094296,1.0,0.0,0.0,0.0,1.0,0.094296,0.0
25,出る,でる,0.011937,0.011937,0.0,0.00-0.05,0.011937,0.0,138.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.046987,1.0,0.0,0.0,0.0,1.0,0.046987,0.0
26,多い,おおい,0.012387,0.012387,0.0,0.00-0.05,0.012387,0.0,147.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.051166,1.0,0.0,0.0,0.0,1.0,0.051166,0.0
27,作る,つくる,0.012838,0.012838,0.0,0.00-0.05,0.012838,0.0,150.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.065254,1.0,0.0,0.0,0.0,1.0,0.065254,0.0
28,聞く,きく,0.013288,0.013288,0.0,0.00-0.05,0.013288,0.0,154.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.083991,1.0,0.0,0.0,0.0,1.0,0.083991,0.0
29,高い,たかい,0.013739,0.013739,0.0,0.00-0.05,0.013739,0.0,160.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.071112,1.0,0.0,1.0,0.0,1.0,0.071112,0.0
30,知る,しる,0.01464,0.01464,0.0,0.00-0.05,0.01464,0.0,177.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.063677,1.0,0.0,0.0,0.0,1.0,0.063677,0.0
31,入る,はいる,0.01509,0.01509,0.0,0.00-0.05,0.01509,0.0,179.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.050625,1.0,0.0,0.0,1.0,1.0,0.050625,0.0
32,国,くに,0.015541,0.015541,0.0,0.00-0.05,0.015541,0.0,180.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.158378,1.0,0.0,0.0,1.0,0.5,1.0,0.0
33,会社,かいしゃ,0.015991,0.015991,0.0,0.00-0.05,0.015991,0.0,182.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0
34,学校,がっこう,0.016441,0.016441,0.0,0.00-0.05,0.016441,0.0,184.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35,大学,だいがく,0.016892,0.016892,0.0,0.00-0.05,0.016892,0.0,185.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
36,方,ほう,0.017342,0.017342,0.0,0.00-0.05,0.017342,0.0,186.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
37,後,あと,0.017793,0.017793,0.0,0.00-0.05,0.017793,0.0,197.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.141768,1.0,0.0,1.0,1.0,1.0,1.0,0.0
38,もう,もう,0.018243,0.018243,0.0,0.00-0.05,0.018243,0.0,203.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.008902,0.0,0.0,1.0,0.0,0.0,0.008902,0.0
39,置く,おく,0.018694,0.018694,0.0,0.00-0.05,0.018694,0.0,209.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.100229,1.0,0.0,0.0,1.0,1.0,0.100229,0.0
40,他,ほか,0.019144,0.019144,0.0,0.00-0.05,0.019144,0.0,211.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.108299,1.0,0.0,0.0,1.0,0.0,0.108299,0.0
41,目,め,0.019595,0.019595,0.0,0.00-0.05,0.019595,0.0,213.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.036699,1.0,0.0,0.0,1.0,1.0,0.036699,0.0
42,上,うえ,0.020045,0.020045,0.0,0.00-0.05,0.020045,0.0,226.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.149172,1.0,0.0,0.0,1.0,1.0,1.0,0.0
43,話,はなし,0.020495,0.020495,0.0,0.00-0.05,0.020495,0.0,228.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.082783,1.0,0.0,0.0,1.0,0.0,0.082783,0.0
44,出す,だす,0.020946,0.020946,0.0,0.00-0.05,0.020946,0.0,238.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.052559,1.0,0.0,0.0,0.0,1.0,0.052559,0.0
45,一人,ひとり,0.021396,0.021396,0.0,0.00-0.05,0.021396,0.0,243.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.039859,1.0,0.0,1.0,1.0,1.0,0.039859,0.0
46,大きい,おおきい,0.021847,0.021847,0.0,0.00-0.05,0.021847,0.0,247.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.060772,1.0,0.0,1.0,0.0,1.0,0.060772,0.0
47,皆,みな,0.022297,0.022297,0.0,0.00-0.05,0.022297,0.0,251.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.107252,1.0,0.0,1.0,1.0,0.25,0.107252,0.0
48,書く,かく,0.022748,0.022748,0.0,0.00-0.05,0.022748,0.0,252.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.070588,1.0,0.0,0.0,0.0,1.0,0.070588,0.0
49,仕事,しごと,0.023198,0.023198,0.0,0.00-0.05,0.023198,0.0,256.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.071522,1.0,0.0,0.0,0.0,1.0,0.071522,0.0
50,上げる,あげる,0.023649,0.023649,0.0,0.00-0.05,0.023649,0.0,268.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.060465,1.0,0.0,1.0,1.0,1.0,0.060465,0.0
51,同じ,おなじ,0.024099,0.024099,0.0,0.00-0.05,0.024099,0.0,275.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.069939,1.0,0.0,1.0,0.0,1.0,0.069939,0.0
52,写真,しゃしん,0.02455,0.02455,0.0,0.00-0.05,0.02455,0.0,281.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
53,何処,どこ,0.025,0.025,0.0,0.00-0.05,0.025,0.0,285.0,normal_vocab,display_only,どこ,normal_vocab,True,active,"The lexical item is beginner-level, but early learner display should prefer kana.",yes,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.112402,1.0,0.0,1.0,1.0,1.0,0.112402,0.0
54,電話,でんわ,0.02545,0.02545,0.0,0.00-0.05,0.02545,0.0,285.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,入れる,いれる,0.025901,0.025901,0.0,0.00-0.05,0.025901,0.0,290.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.060348,1.0,0.0,1.0,1.0,1.0,0.060348,0.0
56,誰,だれ,0.026351,0.026351,0.0,0.00-0.05,0.026351,0.0,291.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.111899,1.0,0.0,1.0,0.0,0.0,0.111899,0.0
57,食べる,たべる,0.026802,0.026802,0.0,0.00-0.05,0.026802,0.0,293.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.062318,1.0,0.0,1.0,0.0,1.0,0.062318,0.0
58,買う,かう,0.027252,0.027252,0.0,0.00-0.05,0.027252,0.0,294.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.084451,1.0,0.0,0.0,0.0,1.0,0.084451,0.0
59,教える,おしえる,0.027703,0.027703,0.0,0.00-0.05,0.027703,0.0,301.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.108894,1.0,0.0,1.0,0.0,1.0,0.108894,0.0
60,二人,ふたり,0.028153,0.028153,0.0,0.00-0.05,0.028153,0.0,302.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.040494,1.0,0.0,0.0,0.0,1.0,0.040494,0.0
61,強い,つよい,0.028604,0.028604,0.0,0.00-0.05,0.028604,0.0,325.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.105406,1.0,0.0,1.0,1.0,1.0,0.105406,0.0
62,男,おとこ,0.029054,0.029054,0.0,0.00-0.05,0.029054,0.0,325.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.15687,1.0,0.0,1.0,1.0,1.0,1.0,0.0
63,言葉,ことば,0.029505,0.029505,0.0,0.00-0.05,0.029505,0.0,325.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.110754,1.0,0.0,1.0,1.0,1.0,0.110754,0.0
64,今日,きょう,0.029955,0.029955,0.0,0.00-0.05,0.029955,0.0,331.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.040296,1.0,0.0,1.0,0.0,1.0,0.040296,0.0
65,話す,はなす,0.030405,0.030405,0.0,0.00-0.05,0.030405,0.0,341.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.096619,1.0,0.0,0.0,1.0,1.0,0.096619,0.0
66,女,おんな,0.030856,0.030856,0.0,0.00-0.05,0.030856,0.0,346.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.168744,1.0,0.0,0.0,1.0,1.0,1.0,0.0
67,家,いえ,0.031757,0.031757,0.0,0.00-0.05,0.031757,0.0,360.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.162629,1.0,0.0,1.0,1.0,1.0,1.0,0.0
68,先,さき,0.032207,0.032207,0.0,0.00-0.05,0.032207,0.0,362.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.047899,1.0,0.0,1.0,1.0,0.25,0.047899,0.0
69,大きな,おおきな,0.032658,0.032658,0.0,0.00-0.05,0.032658,0.0,364.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.063194,1.0,0.0,0.0,0.0,1.0,0.063194,0.0
70,切る,きる,0.033108,0.033108,0.0,0.00-0.05,0.033108,0.0,366.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.078257,1.0,0.0,1.0,0.0,1.0,0.078257,0.0
71,病院,びょういん,0.033559,0.033559,0.0,0.00-0.05,0.033559,0.0,368.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,少し,すこし,0.034009,0.034009,0.0,0.00-0.05,0.034009,0.0,370.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.056371,1.0,0.0,0.0,1.0,1.0,0.056371,0.0
73,開く,ひらく,0.034459,0.034459,0.0,0.00-0.05,0.034459,0.0,373.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.097089,1.0,0.0,0.0,1.0,1.0,0.097089,0.0
74,少ない,すくない,0.03491,0.03491,0.0,0.00-0.05,0.03491,0.0,385.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.065556,1.0,0.0,1.0,1.0,1.0,0.065556,0.0
75,車,くるま,0.035811,0.035811,0.0,0.00-0.05,0.035811,0.0,392.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.044216,1.0,0.0,0.0,1.0,0.5,0.044216,0.0
76,声,こえ,0.036261,0.036261,0.0,0.00-0.05,0.036261,0.0,394.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.072954,1.0,0.0,0.0,1.0,0.0,0.072954,0.0
77,家族,かぞく,0.036712,0.036712,0.0,0.00-0.05,0.036712,0.0,399.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
78,外国,がいこく,0.037162,0.037162,0.0,0.00-0.05,0.037162,0.0,413.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
79,意味,いみ,0.037613,0.037613,0.0,0.00-0.05,0.037613,0.0,413.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
80,呼ぶ,よぶ,0.038063,0.038063,0.0,0.00-0.05,0.038063,0.0,421.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.167797,1.0,0.0,0.0,1.0,1.0,1.0,0.0
81,欲しい,ほしい,0.038514,0.038514,0.0,0.00-0.05,0.038514,0.0,421.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.124746,1.0,0.0,0.0,1.0,1.0,0.124746,0.0
82,今年,ことし,0.038964,0.038964,0.0,0.00-0.05,0.038964,0.0,425.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.064339,1.0,0.0,0.0,0.0,1.0,0.064339,0.0
83,結婚,けっこん,0.039414,0.039414,0.0,0.00-0.05,0.039414,0.0,425.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84,次,つぎ,0.039865,0.039865,0.0,0.00-0.05,0.039865,0.0,431.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.108514,1.0,0.0,0.0,0.0,1.0,0.108514,0.0
85,違う,ちがう,0.040315,0.040315,0.0,0.00-0.05,0.040315,0.0,441.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.115646,1.0,0.0,0.0,0.0,1.0,0.115646,0.0
86,悪い,わるい,0.040766,0.040766,0.0,0.00-0.05,0.040766,0.0,448.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.093484,1.0,0.0,1.0,1.0,0.0,0.093484,0.0
87,側,がわ,0.041216,0.041216,0.0,0.00-0.05,0.041216,0.0,457.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.126536,1.0,0.0,0.0,1.0,0.0,0.126536,0.0
88,初めて,はじめて,0.041667,0.041667,0.0,0.00-0.05,0.041667,0.0,457.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.126592,1.0,0.0,0.0,1.0,1.0,0.126592,0.0
89,好き,すき,0.042117,0.042117,0.0,0.00-0.05,0.042117,0.0,462.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.077771,1.0,0.0,0.0,0.0,1.0,0.077771,0.0
90,店,みせ,0.042568,0.042568,0.0,0.00-0.05,0.042568,0.0,467.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.083002,1.0,0.0,0.0,1.0,0.0,0.083002,0.0
91,新しい,あたらしい,0.043018,0.043018,0.0,0.00-0.05,0.043018,0.0,472.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.098418,1.0,0.0,1.0,0.0,1.0,0.098418,0.0
92,黒,くろ,0.043468,0.043468,0.0,0.00-0.05,0.043468,0.0,472.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.09159,1.0,0.0,0.0,0.0,0.0,0.09159,0.0
93,早い,はやい,0.043919,0.043919,0.0,0.00-0.05,0.043919,0.0,474.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.077871,1.0,0.0,1.0,1.0,1.0,0.077871,0.0
94,料理,りょうり,0.044369,0.044369,0.0,0.00-0.05,0.044369,0.0,483.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95,こんな,こんな,0.04482,0.04482,0.0,0.00-0.05,0.04482,0.0,500.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.016175,0.0,0.0,0.0,0.0,0.0,0.016175,0.0
96,長い,ながい,0.04527,0.04527,0.0,0.00-0.05,0.04527,0.0,501.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.060378,1.0,0.0,1.0,0.0,1.0,0.060378,0.0
97,読む,よむ,0.045721,0.045721,0.0,0.00-0.05,0.045721,0.0,506.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.127905,1.0,0.0,1.0,0.0,1.0,0.127905,0.0
98,新聞,しんぶん,0.046171,0.046171,0.0,0.00-0.05,0.046171,0.0,513.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
99,一緒,いっしょ,0.046622,0.046622,0.0,0.00-0.05,0.046622,0.0,522.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
100,白,しろ,0.047072,0.047072,0.0,0.00-0.05,0.047072,0.0,522.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.204832,1.0,0.0,0.0,1.0,0.75,1.0,0.0
101,立つ,たつ,0.047523,0.047523,0.0,0.00-0.05,0.047523,0.0,535.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.061403,1.0,0.0,0.0,0.0,1.0,0.061403,0.0
102,駅,えき,0.047973,0.047973,0.0,0.00-0.05,0.047973,0.0,535.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
103,山,やま,0.048423,0.048423,0.0,0.00-0.05,0.048423,0.0,545.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.18168,1.0,0.0,1.0,1.0,0.75,1.0,0.0
104,体,からだ,0.048874,0.048874,0.0,0.00-0.05,0.048874,0.0,581.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.078409,1.0,0.0,1.0,1.0,0.25,0.078409,0.0
105,始まる,はじまる,0.049324,0.049324,0.0,0.00-0.05,0.049324,0.0,581.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.085144,1.0,0.0,0.0,0.0,1.0,0.085144,0.0
106,水,みず,0.049775,0.049775,0.0,0.00-0.05,0.049775,0.0,581.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.043664,1.0,0.0,0.0,0.0,1.0,0.043664,0.0
107,乗る,のる,0.050085,0.050085,0.0,0.05-0.10,0.050085,0.0,586.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.084355,1.0,0.0,1.0,1.0,1.0,0.084355,0.0
108,一番,いちばん,0.050254,0.050254,0.0,0.05-0.10,0.050254,0.0,598.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
109,歩く,あるく,0.050424,0.050424,0.0,0.05-0.10,0.050424,0.0,625.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.082176,1.0,0.0,1.0,0.0,1.0,0.082176,0.0
