rank,lemma,reading,score,model_score,correction_delta,band,spalex_rank,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,review_flags,translations,wordfreq_zipf,learner_source_known,learner_source_count,cognate_rescue,false_friend_caution,pos_function_risk,pos_other_risk,dict_marked_usage_risk,weak_form_risk,dictionary_sense_count,dictionary_entry_count,dictionary_marked_terms
15,tener,,0.067518,0.067518,0.0,0.05-0.10,126.0,normal_vocab,verb,verb,,,,,,,,,to have; to possess; to have; to possess; to be (a condition or quality); to hold; to grasp,5.81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,
16,ver,,0.067792,0.067792,0.0,0.05-0.10,119.0,normal_vocab,verb,verb,,,,,,,,,"to see, to spot; to see, to look at, to view (perceive); to see, to tell, to observe",5.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,
17,casa,,0.06935,0.06935,0.0,0.05-0.10,117.0,normal_vocab,noun,noun,,,,,,,,,house,5.77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
18,que,,0.07,0.004447,0.065553,0.05-0.10,1.0,normal_vocab,pronoun,other,score_floor,,normal_vocab,True,active,Reviewed as ultra-common but grammar-heavy; rank 1 is too early for ordinary vocabulary ordering.,yes,"pos_other,function_or_grammar,reviewed_label,manual_correction","that; than; indicates reason; because, for",7.52,1.0,0.333333,0.0,0.0,1.0,1.0,0.0,0.0,7,2,
19,uno,,0.072656,0.072656,0.0,0.05-0.10,33.0,normal_vocab,pronoun,other,,,,,,,,"pos_other,function_or_grammar",one,5.96,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,
20,hora,,0.073153,0.073153,0.0,0.05-0.10,273.0,normal_vocab,noun,noun,,,,,,,,,"hour (a time period of sixty minutes); time (the moment, as indicated by a clock or similar device); high time (usually with ""ya"")",5.45,1.0,0.666667,0.215288,0.068868,0.0,0.0,0.0,0.0,5,1,
21,ser,,0.074062,0.074062,0.0,0.05-0.10,16.0,normal_vocab,verb,verb,,,,,,,,reviewed_label,to be (essentially or identified as); to be (in the passive voice sense); to exist; to occur,6.27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,
22,estar,,0.075109,0.075109,0.0,0.05-0.10,184.0,normal_vocab,verb,verb,,,,,,,,,"to be (have a temporary or permanent location in space); to be (denotes a copula, in a transient fashion); to be (auxiliary verb for the progressive/continuous aspect, preceding the gerund of the verb)",5.74,1.0,1.0,0.07446,0.02989,0.0,0.0,0.0,0.0,7,1,
23,este,,0.075643,0.075643,0.0,0.05-0.10,12.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar,reviewed_label","this; uh, well (space filler in a conversation); east",6.37,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,3,3,
24,hijo,,0.075677,0.075677,0.0,0.05-0.10,199.0,normal_vocab,noun,noun,,,,,,,,,son; child (of unknown gender),5.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,
25,año,,0.075801,0.075801,0.0,0.05-0.10,48.0,normal_vocab,noun,noun,,,,,,,,reviewed_label,year; age,5.88,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.03,2,1,
26,mismo,,0.076674,0.076674,0.0,0.05-0.10,31.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar",same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing; similar; alike; practically identical; indicates that the two compared noun clauses have one or more matching qualities; self; emphasizes the identity or singularity of the modified noun phrase,5.93,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,5,2,
27,idea,,0.078274,0.078274,0.0,0.05-0.10,301.0,normal_vocab,noun,noun,,,,,,,,reviewed_label,idea,5.43,1.0,0.666667,0.585253,0.0,0.0,0.0,0.0,0.0,1,1,
28,bien,,0.08,0.143783,-0.063783,0.05-0.10,40.0,normal_vocab,adverb,adverb,score_override,,normal_vocab,True,active,Reviewed core adverb/adjective-family word; model placed it slightly too late.,yes,"marked_usage,reviewed_label,manual_correction",well (adverbial form of bueno); well; fine; okay (state of being satisfied with the status quo); properly,6.11,1.0,0.666667,0.038551,0.052669,0.0,0.0,1.0,0.0,14,3,dated
29,poder,,0.08,0.011962,0.068038,0.05-0.10,108.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed core modal verb/noun row; model placed it unrealistically close to the absolute first lesson.,yes,manual_correction,"to be able to, can; to be familiar with something, or with someone's personality; power (the ability to coerce, influence or control)",5.68,1.0,1.0,0.312109,0.129499,0.0,0.0,0.0,0.0,5,2,
30,número,,0.08,0.047942,0.032058,0.05-0.10,136.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed common content noun; should be early but not before the clearest first-lesson core.,yes,manual_correction,number (counting); musical number; number,5.46,1.0,0.666667,0.37294,0.113014,0.0,0.0,0.0,0.02,5,1,
31,español,,0.08,0.14601,-0.06601,0.05-0.10,176.0,normal_vocab,adjective,adjective,score_override,,normal_vocab,True,active,Reviewed core language/nationality adjective and easy cognate; model placed it too late.,yes,"reviewed_label,manual_correction",spanish (from or native to spain); spanish (pertaining to spain or to the language); spaniard (man),5.29,1.0,0.333333,0.060613,0.03324,0.0,0.0,0.0,0.03,4,3,
32,agua,,0.08,0.045175,0.034825,0.05-0.10,178.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed beginner noun; small floor keeps it aligned with other concrete beginner nouns instead of the absolute first rows.,yes,"marked_usage,reviewed_label,manual_correction",water; body of water; rain (condensed water falling from a cloud),5.49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1,"archaic,slang"
33,gran,,0.080026,0.080026,0.0,0.05-0.10,27.0,normal_vocab,adjective,adjective,,,,,,,,missing_translation,,5.84,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
34,lugar,,0.080462,0.080462,0.0,0.05-0.10,59.0,normal_vocab,noun,noun,,,,,,,,,place,5.8,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
35,mejor,,0.080465,0.080465,0.0,0.05-0.10,95.0,normal_vocab,adjective,adjective,,,,,,,,,better; better off; improved,5.95,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,6,2,
36,primero,,0.080729,0.080729,0.0,0.05-0.10,207.0,normal_vocab,adjective,adjective,,,,,,,,,"former (in contrast to the latter), first, first one; one of the five bids in the card game of primero, consisting of a combination of four cards in the hand; first, first up",5.41,1.0,0.666667,0.326098,0.200779,0.0,0.0,0.0,0.0,7,3,
37,mano,,0.083382,0.083382,0.0,0.05-0.10,214.0,normal_vocab,noun,noun,,,,,,,,marked_usage,hand; front foot; round; hand,5.38,1.0,0.666667,0.277977,0.313301,0.0,0.0,1.0,0.0,9,2,slang
38,noche,,0.085005,0.085005,0.0,0.05-0.10,183.0,normal_vocab,noun,noun,,,,,,,,,"night (the period between sunset and sunrise); evening (after sunset); after dark, (late) at night, nocturnally",5.55,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
39,dinero,,0.08576,0.08576,0.0,0.05-0.10,343.0,normal_vocab,noun,noun,,,,,,,,,money; wealth,5.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,
40,ayer,,0.086252,0.086252,0.0,0.05-0.10,160.0,normal_vocab,adverb,adverb,,,,,,,,,yesterday; days gone by; yesteryear; the past,5.09,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
41,gente,,0.088977,0.088977,0.0,0.05-0.10,223.0,normal_vocab,noun,noun,,,,,,,,,people,5.9,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
42,más,,0.088994,0.088994,0.0,0.05-0.10,10.0,normal_vocab,adverb,adverb,,,,,,,,reviewed_label,more; -er (used to make comparisons); most; -est (used to make superlatives); furthermore,6.63,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.02,9,3,
43,música,,0.089678,0.089678,0.0,0.05-0.10,241.0,normal_vocab,noun,noun,,,,,,,,,music; song,5.24,1.0,0.666667,0.447409,0.065957,0.0,0.0,0.0,0.02,2,1,
44,ayuda,,0.090061,0.090061,0.0,0.05-0.10,263.0,normal_vocab,noun,noun,,,,,,,,,"help, aid; assistance; guidance",5.33,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,2,
45,favor,,0.090393,0.090393,0.0,0.05-0.10,295.0,normal_vocab,noun,noun,,,,,,,,,favor/favour,5.48,1.0,0.666667,0.003289,0.0,0.0,0.0,0.0,0.0,1,1,
46,edad,,0.09129,0.09129,0.0,0.05-0.10,315.0,normal_vocab,noun,noun,,,,,,,,,age; time since an event; age (period of time),5.21,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,1,
47,también,,0.092074,0.092074,0.0,0.05-0.10,13.0,normal_vocab,adverb,adverb,,,,,,,,reviewed_label,"also, too, as well; so",6.19,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.02,2,1,
48,solo,,0.093026,0.093026,0.0,0.05-0.10,152.0,normal_vocab,adjective,adjective,,,,,,,,,"sole; one; only; single (unique); lonely, lonesome; alone, by oneself",6.0,1.0,0.666667,0.158106,0.093527,0.0,0.0,0.0,0.0,5,2,
49,largo,,0.093421,0.093421,0.0,0.05-0.10,196.0,normal_vocab,noun,noun,,,,,,,,,"long (having much distance from one terminating point to another); long, lengthy, extended, prolonged, protracted, (having great duration); long, long-running (seemingly lasting a lot of time)",5.3,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,8,3,
50,todo,,0.094467,0.094467,0.0,0.05-0.10,20.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar",all; every; each; every; everything,6.35,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,3,2,
51,dos,,0.095368,0.095368,0.0,0.05-0.10,19.0,normal_vocab,numeral,other,,,,,,,,"pos_other,function_or_grammar","two; dung, excrement",6.12,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,2,2,
52,haber,,0.09859,0.09859,0.0,0.05-0.10,127.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"have; forms the perfect aspect; to hold, to possess; to exist; there be; “there is”, “there are” (hay); “there was”, “there were” (había)",5.58,1.0,0.666667,0.08076,0.042603,0.0,0.0,1.0,0.0,9,2,"dated,formal,obsolete"
53,mar,,0.098887,0.098887,0.0,0.05-0.10,193.0,normal_vocab,noun,noun,,,,,,,,,sea; seaside; lunar mare,5.11,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,5,1,
54,mundo,,0.1,0.046538,0.053462,0.10-0.15,55.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed common content noun; model placed it too early for ordinary vocabulary ordering.,yes,manual_correction,"world, earth (human collective existence); world, globe (the earth); world (planet, especially one which is inhabitable)",5.89,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,
55,ciudad,,0.1,0.070768,0.029232,0.10-0.15,58.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed common place noun; model placed it slightly too early relative to comparable beginner nouns.,yes,manual_correction,city,5.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
56,momento,,0.1,0.03272,0.06728,0.10-0.15,100.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed common noun; should remain early but not in the ultra-first-page cluster.,yes,manual_correction,"moment, instant; timing; momentum",5.71,1.0,0.666667,0.496206,0.109596,0.0,0.0,0.0,0.0,3,1,
57,familia,,0.1,0.069554,0.030446,0.10-0.15,179.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,Reviewed common family noun; model placed it slightly too early relative to surrounding beginner content words.,yes,"reviewed_label,manual_correction",family (group of people related to each other); family (grouping of things possessing common characteristics),5.53,1.0,1.0,0.289524,0.034047,0.0,0.0,0.0,0.0,2,1,
58,cabeza,,0.1,0.06445,0.03555,0.10-0.15,236.0,normal_vocab,noun,noun,score_floor,,normal_vocab,True,active,"Reviewed common body-part noun; should be beginner, but not in the absolute earliest rows.",yes,manual_correction,"head; mind (in certain phrases); guy, dude, man",5.34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
59,pasar,,0.101234,0.101234,0.0,0.10-0.15,444.0,normal_vocab,verb,verb,,,,,,,,,"to pass, to hand, to slip; to happen; to pass, to get past, to go past, to go by, to go over, to get through",5.34,1.0,0.666667,0.076915,0.039912,0.0,0.0,0.0,0.0,21,1,
60,otro,,0.101283,0.101283,0.0,0.10-0.15,56.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar","other, another; ""not again!"" or ""what, again?"" (also otra vez! or otra vez?); someone else; another person",5.87,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,4,3,
61,persona,,0.101898,0.101898,0.0,0.10-0.15,299.0,normal_vocab,noun,noun,,,,,,,,,"person (an individual; usually a human being); a socially distinguished person, a personality; a wise or otherwise excellent person",5.56,1.0,0.666667,0.20578,0.119034,0.0,0.0,0.0,0.0,5,2,
62,cada,,0.102309,0.102309,0.0,0.10-0.15,43.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar",each; every; every time,5.9,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,2,2,
63,tres,,0.103604,0.103604,0.0,0.10-0.15,57.0,normal_vocab,numeral,other,,,,,,,,"pos_other,function_or_grammar",three,5.72,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,1,1,
64,antes,,0.104263,0.104263,0.0,0.10-0.15,64.0,normal_vocab,adverb,adverb,,,,,,,,,"earlier; before; sooner; previously; formerly; beforehand (at an earlier time); soon (in certain phrases); ahead (temporally), ahead of (when followed by de)",5.82,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,7,2,
65,difícil,,0.104332,0.104332,0.0,0.10-0.15,454.0,normal_vocab,adjective,adjective,,,,,,,,,"difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing; unlikely (i.e. improbable); awkward (e.g. situation or position)",5.24,1.0,0.666667,0.194036,0.05932,0.0,0.0,0.0,0.02,4,1,
66,mes,,0.104508,0.104508,0.0,0.10-0.15,429.0,normal_vocab,noun,noun,,,,,,,,,month,5.31,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
67,nombre,,0.104864,0.104864,0.0,0.10-0.15,70.0,normal_vocab,noun,noun,,,,,,,,,name; noun; wow!,5.61,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,2,
68,siempre,,0.105376,0.105376,0.0,0.10-0.15,78.0,normal_vocab,adverb,adverb,,,,,,,,,"always; in spite of it, still...at least; all the same, ultimately, in the end",5.93,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,1,
69,menos,,0.10566,0.10566,0.0,0.10-0.15,77.0,normal_vocab,adverb,adverb,,,,,,,,,"less; least; less, fewer",5.84,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,8,5,
70,poco,,0.106481,0.106481,0.0,0.10-0.15,85.0,normal_vocab,adverb,adverb,,,,,,,,,"little, not much; few, not many; un-, not",5.82,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,6,3,
71,aire,,0.106916,0.106916,0.0,0.10-0.15,460.0,normal_vocab,noun,noun,,,,,,,,,air (the substance constituting earth's atmosphere); air (the open space above the ground); air; wind,5.07,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,10,3,
72,aquí,,0.10713,0.10713,0.0,0.10-0.15,120.0,normal_vocab,adverb,adverb,,,,,,,,,here,5.75,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.02,1,1,
73,luego,,0.108843,0.108843,0.0,0.10-0.15,116.0,normal_vocab,adverb,adverb,,,,,,,,,"then (afterward); later, later on (at some point in the future); soon (within a short time)",5.69,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,2,
74,segundo,,0.109188,0.109188,0.0,0.10-0.15,156.0,normal_vocab,adjective,adjective,,,,,,,,,second (after the first); second (unit of time); second (short amount of time),5.35,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,2,
75,joven,,0.109439,0.109439,0.0,0.10-0.15,325.0,normal_vocab,noun,noun,,,,,,,,,"young, youthful; youth, young person, youngster",5.18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,
76,cuatro,,0.109751,0.109751,0.0,0.10-0.15,133.0,normal_vocab,numeral,other,,,,,,,,"pos_other,function_or_grammar","four; a four-stringed guitar with the first string a fifth below, instead of a fourth above, the second",5.4,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,2,2,
77,mujer,,0.10977,0.10977,0.0,0.10-0.15,172.0,normal_vocab,noun,noun,,,,,,,,,woman; wife,5.57,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,2,1,
78,poner,,0.110612,0.110612,0.0,0.10-0.15,498.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"to put, to put up, to place, to lay; to set, to set up (e.g. set an alarm, set up chairs); to put on (e.g. put on a smile, a happy face, a brave face; put on a pot of coffee, put something on display)",5.24,1.0,0.666667,0.0,0.0,0.0,0.0,1.0,0.0,25,1,slang
79,clase,,0.110624,0.110624,0.0,0.10-0.15,480.0,normal_vocab,noun,noun,,,,,,,,,lecture; class (lesson); class (group of students),5.31,1.0,0.666667,0.269413,0.115291,0.0,0.0,0.0,0.0,7,1,
80,llevar,,0.110754,0.110754,0.0,0.10-0.15,510.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug (implies to move something further from who speaks); to take, to take out (implies moving someone further from the speaker); to lead, to drive",5.15,1.0,0.666667,0.25,0.299925,0.0,0.0,1.0,0.0,11,1,informal
81,allí,,0.110756,0.110756,0.0,0.10-0.15,141.0,normal_vocab,adverb,adverb,,,,,,,,,there (away from the speaker and the listener),5.26,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.02,1,1,
82,nunca,,0.111124,0.111124,0.0,0.10-0.15,150.0,normal_vocab,adverb,adverb,,,,,,,,,never; ever,5.84,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,2,1,
83,con,,0.111558,0.111558,0.0,0.10-0.15,6.0,normal_vocab,adposition,other,,,,,,,,"pos_other,function_or_grammar,reviewed_label",with; on,6.97,1.0,0.333333,0.0,0.0,1.0,1.0,0.0,0.0,2,1,
84,cosa,,0.112086,0.112086,0.0,0.10-0.15,240.0,normal_vocab,noun,noun,,,,,,,,marked_usage,"thing (object, concept); thing (living being)",5.53,1.0,0.666667,0.0,0.0,0.0,0.0,1.0,0.0,2,1,informal
85,tarde,,0.112256,0.112256,0.0,0.10-0.15,180.0,normal_vocab,noun,noun,,,,,,,,,late; afternoon; evening (after sunset),5.43,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,3,
86,llegar,,0.112498,0.112498,0.0,0.10-0.15,268.0,normal_vocab,verb,verb,,,,,,,,,"to arrive, get (to); to get up to, to go up to, to reach (+ a or + hasta); to be sufficient; to be enough",5.38,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,4,1,
87,mañana,,0.112846,0.112846,0.0,0.10-0.15,201.0,normal_vocab,adverb,adverb,,,,,,,,,"tomorrow; soon, shortly; the morning",5.48,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.03,4,3,
88,cinco,,0.113532,0.113532,0.0,0.10-0.15,213.0,normal_vocab,numeral,other,,,,,,,,"pos_other,function_or_grammar",five; a five,5.31,1.0,0.666667,0.0,0.0,1.0,1.0,0.0,0.0,2,2,
89,madre,,0.113781,0.113781,0.0,0.10-0.15,227.0,normal_vocab,noun,noun,,,,,,,,marked_usage,mother; mother (source or origin); mother (nun),5.45,1.0,0.666667,0.0,0.0,0.0,0.0,1.0,0.0,6,1,"slang,vulgar"
90,gracias,,0.113843,0.113843,0.0,0.10-0.15,219.0,normal_vocab,noun,noun,,,,,,,,,"thank you, thanks; thanks; a colonial town in the lempira department of honduras",5.86,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,3,
91,palabra,,0.113862,0.113862,0.0,0.10-0.15,320.0,normal_vocab,noun,noun,,,,,,,,,word; wording; word (promise),5.19,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,1,
92,película,,0.113968,0.113968,0.0,0.10-0.15,364.0,normal_vocab,noun,noun,,,,,,,,,"film (layer); movie (us, canada), film; story (invented story, especially one as an excuse)",5.17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.053333,3,1,
93,grande,,0.114299,0.114299,0.0,0.10-0.15,354.0,normal_vocab,adjective,adjective,,,,,,,,,"big, large; great, grand; aged, old",5.37,1.0,1.0,0.407956,0.257411,0.0,0.0,0.0,0.0,6,3,
94,semana,,0.114327,0.114327,0.0,0.10-0.15,334.0,normal_vocab,noun,noun,,,,,,,,,week (7 days),5.48,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
95,saber,,0.114419,0.114419,0.0,0.10-0.15,359.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"to know, to understand (a fact); to know how to do something; to find out, to learn",5.49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14,2,informal
96,libro,,0.114754,0.114754,0.0,0.10-0.15,253.0,normal_vocab,noun,noun,,,,,,,,,book,5.33,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
97,cerca,,0.114782,0.114782,0.0,0.10-0.15,245.0,normal_vocab,adverb,adverb,,,,,,,,,"close, near, around, about, nearly, nigh (referring to quantity or time-related); close, near, around, nigh, at hand, close at hand, in sight (spatially); nearby, close by",5.37,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,5,2,
98,alto,,0.115225,0.115225,0.0,0.10-0.15,272.0,normal_vocab,adjective,adjective,,,,,,,,,tall; high; loud,5.29,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,13,5,
99,verdad,,0.115284,0.115284,0.0,0.10-0.15,276.0,normal_vocab,noun,noun,,,,,,,,,truth; fact; right,5.68,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
100,mal,,0.115489,0.115489,0.0,0.10-0.15,283.0,normal_vocab,adverb,adverb,,,,,,,,,"amiss, awry, off, wrong; badly, poorly, ill; awry, amiss, wrong, wrongly",5.62,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,7,3,
101,juego,,0.116032,0.116032,0.0,0.10-0.15,305.0,normal_vocab,noun,noun,,,,,,,,,play; game; sport; gaming,5.38,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,7,1,
102,pronto,,0.116495,0.116495,0.0,0.10-0.15,339.0,normal_vocab,adverb,adverb,,,,,,,,,"prompt, on time; ready; soon, promptly, any time soon",5.12,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,3,2,
103,puerta,,0.119945,0.119945,0.0,0.10-0.15,385.0,normal_vocab,noun,noun,,,,,,,,,door (portal of entry into a building); gate (doorlike structure outside a house); gate (passageway in an airport),5.07,1.0,0.666667,0.057421,0.024722,0.0,0.0,0.0,0.0,5,1,
